Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Red Cross Movement,British Red Cross,,NGO - International,United Kingdom,Health,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.redcross.org.uk/,https://www.facebook.com/BritishRedCross,https://twitter.com/britishredcross,http://www.redcross.org.uk/Donate-Now,http://m.bbc.com/news/world-asia-32470731
Red Cross Movement,Canadian Red cross,,NGO - International,Canada,Shelter & NFI,Health,,,,Canadian Red Cross has sent a mobile field hospital to Kathmandu,,http://www.redcross.ca/,https://www.facebook.com/canadianredcross,https://twitter.com/redcrosscanada,https://secure.redcross.ca/registrant/donate.aspx?eventid=172921&__utma=225819417.1279599369.1430517929.1430517929.1430517929.1&__utmb=225819417.0.10.1430517929&__utmc=225819417&__utmx=-&__utmz=225819417.1430517929.1.1.utmcsr=t.co|utmccn=(referral)|utmcmd=referral|utmcct=/qWsqWnUeEc&__utmv=-&__utmk=14144820,https://twitter.com/redcrosscanada/status/593474215929651200
Red Cross Movement,Emirates Red Crescent,,NGO - International,UAE,Search & Rescue,,,,,"Sending aid workers along with UAE government Search and Rescue (SAR) team.

Another delegation will travel to Indian capital of New Delhi to purchase food and medical supplies and then airlift them as quickly as possible to the quake-affected areas in Nepal.",,http://www.rcuae.ae/,https://www.facebook.com/emiratesrc,https://twitter.com/uaerc1,,http://www.emsworld.com/news/11935226/global-response-to-nepal-quake-gears-up
Red Cross Movement,International Committee of the Red Cross and Nepal Red Cross,ICRC,NGO - International,International,Early Recovery,,,,,"Register missing persons. The relief organization is providing first aid, helping with search and rescue efforts, and supplying blood to medical facilities. Red Cross has about 19,000 nonfood relief kits available in Nepal, “which include clothing, kitchen sets, tarpaulins, mosquito nets, and personal hygiene items.” Donors can specify they would like their money to go to in the Nepalese efforts.",,http://www.nrcs.org/,https://www.facebook.com/nepalredcross,https://twitter.com/redcrossnepal,,http://familylinks.icrc.org/nepal-earthquake/en/Pages/Home.aspx
Red Cross Movement,International Federation of Red Cross ,,NGO - International,International,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://ifrc.org/,https://www.facebook.com/RedCrossRedCrescent,https://twitter.com/federation,,http://m.bbc.com/news/world-asia-32470731
Red Cross Movement,International Federation of Red Cross and Red Crescent Socities,IFRC,NGO - International,International,Search & Rescue,Nutrition,Health,,,"The IFRC is mobilising resources from its hubs in New Delhi, Kuala Lumpur and Bangkok - See more at: http://www.ifrc.org/en/news-and-media/news-stories/asia-pacific/nepal/earthquake-in-nepal-68486/#sthash.GDWaHupg.dpuf   Also Fund Raising see links  New PDF 4/27/2015 http://adore.ifrc.org/Download.aspx?FileId=79716",Emergency Appeal: Nepal Earthquake PDF 4/27/2015 detailed financial & relief commitment ,http://ifrc.org/,https://www.facebook.com/RedCrossRedCrescent,https://twitter.com/federation,,http://www.ifrc.org/en/news-and-media/news-stories/asia-pacific/nepal/earthquake-in-nepal-68486/ and https://www.ammado.com/community/154728/donate
Red Cross Movement,International Red Cross CASH ,CASH,NGO - International,International,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",3 cash staff from Danish Red Cross + team lead,http://ifrc.org/,https://www.facebook.com/RedCrossRedCrescent,https://twitter.com/federation,,
Red Cross Movement,Iranian Red Crescent Society,,NGO - International,Iran,Search & Rescue,,,,,Called on Kathmanduto to inform it of its aid requirements .,,http://rcs.ir/en/,https://www.facebook.com/IranianRedCrescent,NA,,http://www.ettelaat.com/index2.asp?code=endisplay&fname=/ettelaat/etbupload/data/2015/04/04-26/7.htm&title=President%20Rohani%20extends%20condolences%20to%20Nepal%20after%20quake
Red Cross Movement,Korean Red Cross,,NGO - International,South Korea,Health,,,,,"US$100,000 in relief funds, sending thousands of blankets and emergency kits. Preparing to deploy team of medical workers",,https://www.redcross.or.kr/eng/eng_main/main.do,https://www.facebook.com/koreanredcross.page,https://twitter.com/KoreanRedCross,,http://koreabizwire.com/s-korea-mulls-emergency-relief-for-quake-stricken-nepal/34201
Red Cross Movement,Malaysian Red Crescent,,NGO - International,Malaysia,Search & Rescue,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.redcrescent.org.my/,https://www.facebook.com/pages/Official-Malaysian-Red-Crescent/208197838938,NA,,
Red Cross Movement,Nepal Red Cross,,NGO - Local,Nepal,Health,Assessments,Search & Rescue,,,"The Nepal Red Cross is providing first aid, search and rescue, blood to medical facilities in the capital and support to first responders

More than 1,500 volunteers and 300 staff from the NRCS have been supporting SAR efforts, providing first aid, psychosocial support, assessments and given assistance at evacuation centers. The NRCS is headquartered in Kathmandu and has branches in all 75 districts, more than 1,300 sub-branches, 1.1 million members, and 100,000 active volunteers. (IFRC)

NRCS workers are engaged in the field for assisting in search and rescue efforts, providing first aid to the injured, transporting the wounded to hospitals and temporary shelters. Additionally, sanitation and health activities, and restoring family links are other important immediate support. NRCS is also preparing a support plan for the next six months in coordination and cooperation with the GON, UN, International Red Cross and Red Crescent Movement Partners, national and international organizations.

The NRCS has deployed National Disaster Response Teams (NDRT) in 12 worst affected districts including Kathmandu valley, Sindhupalchok, Gorkha, Nuwakot, Kavre, Dhading, Ramechhap, Dolakha, Lamjung and Rasuwa. About 20 National Societies of Red Cross and Red Crescent are supporting in one or another way. (NRCS)",,http://www.nrcs.org/,https://www.facebook.com/nepalredcross,https://twitter.com/redcrossnepal,,http://www.redcross.org/
Red Cross Movement,Norwegian Red Cross,NRC,NGO - International,Norway,Health,,,,,In response to the needs in Chautara the NRC has dispatched its fully-equipped rapid deployment hospital which will be set up close to the town’s damaged hospital. The medical team arrived on May 2 but the trucks carrying their equipment were delayed due to a landslide. (IFRC),"60 beds 
52 staff",https://www.rodekors.no/red-cross-in-english/,https://www.facebook.com/roedekors,https://twitter.com/rodekorsnorge,,http://www.nrk.no/verden/rode-kors-sender-feltsykehus-til-nepal-1.12330403
Red Cross Movement,Qatar Red Crescent,QRC,NGO - International,Qatar,Funding,Health,Shelter & NFI,Nutrition,,"Raising money and providing medical aid, shelter, food and water supplies.",humanitarian appeal to collect QR 12 million and allocating one million for urgent intervention and relief of earthquake victims in Nepal,http://www.qrcs.org.qa/,https://www.facebook.com/QatarRedCrescent,https://twitter.com/qrcs,,http://www.fananews.com/en/qater/257097/
Red Cross Movement,Turkish Red Crescent,,NGO - International,Turkey,Shelter & NFI,,,,,"Turkish Red Crescent dispatched an expert team from Pakistan and Bangladesh and 1,000 blankets ,00's of food packages",,http://www.kizilay.org.tr/bizoradaydik/,https://www.facebook.com/TurkKizilayi.org,https://twitter.com/redcrescenttr,,http://www.aa.com.tr/en/news/499813--strong-aftershock-hits-nepal-day-after-quake
RedR,,RedR,NGO - International,United Kingdom,?,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.redr.org.uk/,https://www.facebook.com/RedRUK,https://twitter.com/RedRUK,,
Relief International,Relief International Nepal,RI,NGO - International,USA,Nutrition,Funding,Shelter & NFI,Health,,"Supporting Sindhupalchok and Kavrepalanchok districts to provide food, medicine and emergency shelter items, and have already distributed food items to villages in the severely affected Kavrepalanchok district. They have also set up the fund: https://www.ri.org/donate/donate-nepal.php",,http://www.reliefinternational.org/,https://www.facebook.com/reliefinternational,https://twitter.com/reliefintl,,
Relief Web,,RW,UN Agency,Virtual,Logistics,Assessments,,,,Share information through ReliefWeb to better inform humanitarians worldwide,,http://reliefweb.int/,https://www.facebook.com/reliefweb,https://twitter.com/reliefweb,,
Remote Area Medical Teams,,RAM,NGO - International,USA,Health,,,,,"5/3/15 Update: Remote Area Medical (RAM) [https://ramusa.org/] is coordinating with Deerwalk Social Welfare Network [http://deerwalkswn.org/] for the engagement of 18+ medical professionals from the United States. Paul Marseca, arrived in Kathmandu last night and has set up his base in Deerwalk's office in Kathmandu [http://www.deerwalk.com/. Today, Paul visited a health camp in Changu Narayan, the office of World Health Organization (WHO) in Pulchowk, and the Ministry of Health & Population in preparation for the arrival of his larger team this coming week.

We are in coordination with Deerwalk, Inc & Institute of Technology, which is a software development firm and a technology school that works both in the US and in Nepal.

Deerwalk is located in Kathmandu, and they’ve kindly offered use of their facilities as a base. Meanwhile, our coordination with the World Health Organization indicates that areas more remote than Kathmandu require aid, so we will transport volunteers daily from Deerwalk facilities to red zones in order to maximize our resources.

The WHO is still assessing the situation and will get back to us soon on which remote areas are in the most dire need. The WHO is working in tandem with the Nepal Ministry of Health, so in this situation WHO = Nepal Government. We will do our very best to go where they ask us to.

RAM volunteers will be on the ground in Nepal within 48 hours.",,http://ramusa.org,https://www.facebook.com/RAMUSA.ORG,https://twitter.com/ramusaorg,,https://ramusa.org/disaster-relief/
ReSurge International,Interaction Org,,NGO - International,USA,Health,,,,,"Reconstructive Surgical care , medical assistance and counselling ",50 person Nepalese team ,www.resurge.org,https://www.facebook.com/ReSurge,https://twitter.com/resurge,http://www.resurge.org/ways_to_give/nepal_quake_fund.cfm,http://news.yahoo.com/resurge-international-responds-nepal-earthquake-victims-034700943.html
Roddenberry Disaster Response Team,,DRT,NGO - International,?,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.roddenberrydrt-handbook.com/; http://www.ihs-i.com,,,,
Sahana Software Foundation,,,NGO - International,Virtual,Assessments,,,,,Implementation of Earthquake Action Nepal site,,http://sahanafoundation.org/,,,,http://nepal.sahana.io/
Samaritan's Purse,,,NGO - International,USA,Nutrition,Health,Shelter & NFI,WASH,,"Samaritan’s Purse is currently responding to the earthquake in Nepal through a 26 person disaster assistance response team (DART) based in Kathmandu and a 9 person DART logistics team based in Delhi, India. SP has highlighted six districts in the Kathmandu Valley as the main areas SP will respond through non-food item, water sanitation and hygiene, and food distributions. A DART medical team is also working in these districts through partnership with local hospitals as well as mobile medical clinics. (SP)","16 disaster response experts, including 6 medical personnel, supplies for 15,000 households",,,,,http://www.samaritanspurse.org/article/deadly-earthquake-in-nepal/ and http://blog.samaritanspurse.org/shaken-for-the-people-of-nepal/
Sano Paila,,,NGO - Local,Nepal,Early Recovery,Shelter & NFI,,,,"5/3 Have raised $16,768US toward a $20k (current) goal to fund the purchase and transportion of tarps, blankets and ropes to house 1,100 displaced families in the Gorkha region. Working in cooperation with the local government, police and communty members in Gorkha to best answer their needs and aid in the recovery effort. First shipment of supplies has arrived and distribution is to begin immediately.  After speaking with Nepal Police and assessing the needs, Sano Paila has initiated efforts to deliver basic necessities and medical attention to areas that have suffered the most. They are also advertising for volunteers on their website, including a google-form so that people can be immediately entered into their volunteer database.",,http://sanopaila.org.np/,https://www.facebook.com/sanopaila,https://twitter.com/sanopaila,https://life.indiegogo.com/fundraisers/temporary-shelters-for-gorkha-nepal,"https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
https://life.indiegogo.com/fundraisers/temporary-shelters-for-gorkha-nepal
https://docs.google.com/forms/d/19ZGtyjHFV0WtfjOiE3JxcXL8Ywg92WRcbwFZBOZHyow/viewform?c=0&w=1"
SAR Dogs Nepal,,,NGO - Local,Nepal,Search & Rescue,,,,,"From their website ""Today (28 April 2015) we were unable to set up the entire camp. The loads and personnel where too much for a single helicopter. The schedule of the helicopter time window was far to small too. Shuttling up the entire load will take more time tomorrow and under these circumstances maybe even more days.The weather was not much in our favor today. Thunderstorms over Kaski Lamjung & Gorkha districts delayed all other relief rescue helicopter flights plus domestic air cargo traffic between Kathmandu and Pokhara. Stay tuned for more to come tomorrow!""",,http://www.sardogsnepal.asia/,NA,https://twitter.com/sardogsnepal,,
Sarvodaya USA,,,NGO - International,USA,?,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.sarvodayausa.org/,https://www.facebook.com/sarvodayausa,https://twitter.com/sarvodayausa,http://www.sarvodayausa.org/,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Save the Children,Save the Children - Nepal,,NGO - Local,Nepal,Education,Assessments,Shelter & NFI,WASH,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,https://nepal.savethechildren.net/,https://www.facebook.com/savethechildren.np,https://twitter.com/SC_Nepal,,
Save the Children,,,NGO - International,Nepal,Health,WASH,Nutrition,,,"Food and water, medical aid, sanitation and cleanliness.",,http://www.nepalsathi.org/,https://www.facebook.com/NepalSathiFoundation,https://twitter.com/nepalsathi,,
Search and Rescue Assistance in Disaster,,,NGO - International,United Kingdom,Search & Rescue,,,,,Search and Rescue for those trapped in buildings,The Team are deploying to Nepal to support the rescue effort. The team of 14 fully trained rescue technicians will carry 1.5 tonnes of specialist search and support equipment. Also started donations for the team.,http://www.saraid.org.uk/,https://www.facebook.com/pages/Friends-of-SARAID/53168866618,https://twitter.com/team_saraid,,"http://www.bbc.com/news/uk-32471025
http://www.saraid.org.uk/"
Search For Common Ground,,SFCG,NGO - International,?,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,https://www.linkedin.com/pub/michael-shipler/21/8a4/8,,,,
Secretariat of the Pacific Community,,SPC,NGO - International,International,Assessments,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Seva Foundation,,,NGO - International,USA,Funding,,,,,"As of April 26, SEVA has setup a Nepal earthquake relief fund (source: http://www.newshour.com.bd/2015/04/26/how-to-help-nepal-7-vetted-charities-doing-relief-work-following-the-earthquake/)

(4/30/2015) Their Nepali staff, along with staff from partner hospitals are moving in convoy towards the communities of Dhading and Gorkha with critically needed supplies. Seva has allocated $150,000 immediately to relief efforts. Once the teams reach Dhading and Gorkha, assessments will continue and efforts will be adjusted accordingly.Seva is  providing funds and helping to coordinate hospital staff and emergency vehicles to transport and distribute desperately needed supplies. (Source: http://www.seva.org/site/PageServer?pagename=Nepal_Earthquake_Update)",,http://www.seva.org/,,,https://secure2.convio.net/seva/site/Donation2;jsessionid=13DA8B424A365601B4BF9DCC69A5BE55.app271a?idb=1763156034&df_id=4800&4800.donation=form1&idb=0,http://www.seva.org/site/PageServer?pagename=Nepal_Earthquake_Update
Seven Women,,,NGO - Local,Nepal,Food Security,Shelter & NFI,,,,"Providing food, clothing, and shelter. ",,http://sevenwomen.org/,https://www.facebook.com/SevenWomenStore,https://twitter.com/SevenWomenNGO,https://donations.rawcs.com.au/Default.aspx?ProjectID=672&ReturnTo=4,Updated on their Facebook page and website. 
Shanti Volunteer Association,,SVA,NGO - International,Japan,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://sva.or.jp/english/,,,,
Shapla Neer,,,NGO - Local,Nepal,Shelter & NFI,Nutrition,Health,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
ShelterBox,ShelterBox USA,,NGO - International,USA,Shelter & NFI,Assessments,,,,"Upon hearing the recent news of the devastating earthquake that hit Nepal and has caused wide-spread damage and loss of life in several surrounding countries, the BNI Foundation has begun an appeal to support the deployment of ShelterBoxes to those who find themselves homeless after the quake. Each ShelterBox contains a family tent, cooking sources, basic tools, water purification kits, water storage containers, and supplies. In strong partnership with Rotary International, BNI is referring our members directly to ShelterBox in order to eliminate the delay of processing donations through our fund to ShelterBox. ShelterBox has been able to provide tents to four hospitals in the city creating safe, covered spaces where patients can be treated in privacy. They will be used for carrying out minor operations, changing dressings and as mobile health clinics.

(4/30/2015) Pre-positioned kits were all given to hospitals in the Kathmandu area. An additional 500 shelter kits are in the process of being sent now. (Source: http://www.shelterboxusa.org/news_global.php?id=1351)",,http://shelterboxusa.org/,https://www.facebook.com/shelterboxusa,https://twitter.com/shelterboxus,,http://www.shelterboxusa.org/news_global.php?id=1348
ShelterBox,,,NGO - International,International,Shelter & NFI,Assessments,,,,ShelterBox is sending a team to assess the need for shelter (Source: http://www.shelterbox.org/news_global.php?id=1348),yet to be determined,http://shelterbox.org/,https://www.facebook.com/ShelterBox,https://twitter.com/ShelterBox,,http://www.shelterbox.org/news_global.php?id=1348
Shikshya Foundation Nepal,,,NGO - Local,Nepal,Funding,,,,,we have decided to mobilize a full-time team to raise and distribute relief funds where they are needed most on the ground in Nepal. A portion of the donations we receive will go towards immediate disaster relief and the remaining funds will go towards long-term sustainable rebuilding efforts. 100% of donations we receive will go directly to the people who need it most. We are committed to full transparency and accountability of fund disbursal. Please check back frequently for latest updates and news from our campaign.,,http://shikshyafoundationnepal.org/,https://www.facebook.com/shikshyafoundationnepal,NA,https://www.crowdrise.com/nepalearthquakefund,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
SIGN Fracture Care International,,SIGN,NGO - International,USA,Health,,,,,"“We are ready to go, and we want to go when they need us,” said Zirkle, SIGN founder and one of the surgeons ready and willing to travel to Nepal.","He expects he could easily ask about 1,000 surgeons to go. The nonprofit also will help find support staff if needed.",http://signfracturecare.org/,https://www.facebook.com/signfracturecare,https://twitter.com/SIGNtweeter,,http://signfracturecare.org/
Skype,,,Corporation,International,Telecom,,,,,"Skype is making all calls to landlines and mobiles in and out of Nepal free of charge, with immediate effect",,,,,,"http://blogs.skype.com/2015/04/27/free-calls-to-land-lines-and-mobiles-in-nepal/?fb_ref=Default&fb_source=message#.VT5dh_CnDWU.facebook
HumanityRoad SitRep"
Solidarité International,,,NGO - International,International,?,,,,,Working in tandem with Doctors of the World USA,,http://www.solidarites.org/en/,https://www.facebook.com/SOLIDARITES.INTERNATIONAL,https://twitter.com/solidarites_int,,http://doctorsoftheworld.org/2015/04/26/nepal-earthquake-doctors-of-the-world-mdm-sends-15-tons-of-supplies/
SOS Children's Villages International,,,NGO - International,USA,Education,Assessments,Shelter & NFI,WASH,,"As of April 26, Save the Children has established a Nepal relief fund “protect vulnerable children and provide desperately needed relief to families.” (source: http://www.newshour.com.bd/2015/04/26/how-to-help-nepal-7-vetted-charities-doing-relief-work-following-the-earthquake/)

On the ground, still assessing; Sending assessment teams to regions outside the Kathmandu Valley; has some emergency kits, hygiene materials and tarpaulins already in Nepal and ready for distribution.

(4/30/2015) began the delivery of 136 tarpaulins in Kathmandu. in Bhaktapur district, 180 baby packs – which include children’s clothes, blankets and soap. will also begin distributing many more items to other places including Gorkha and Sindhupalchowk districts. (Source: http://www.savethechildren.org/site/apps/nlnet/content2.aspx?c=8rKLIXMGIpI4E&b=9241315&ct=14620557)",,http://www.savethechildren.org/,https://www.facebook.com/savethechildren,https://twitter.com/SavetheChildren,https://secure.savethechildren.org/site/c.8rKLIXMGIpI4E/b.9274575/k.FD90/Nepal_Earthquake_Childrens_Relief_Fund/apps/ka/sd/donor.asp,"http://www.savethechildren.org/site/apps/nlnet/content2.aspx?c=8rKLIXMGIpI4E&b=9241341&ct=14617939&notoc=1
http://www.savethechildren.org/site/apps/nlnet/content2.aspx?c=8rKLIXMGIpI4E&b=9241315&ct=14620557"
SOS Children's Villages International,,,NGO - International,International,Protection,Education,Camp Coordination,,,"Providing first aid and sharing supplies with communities. The local SOS Children's Village center in Joparti outside Kathmandu act as a shelter for more than one thousand residents. At the Dhulikhel Hospital in Kavre, SOS is running a relief camp where they are providing first aid, food and water. At three locations near Kathmandu SOS staff and volunteers have set up child-friendly spaces to care for kids traumatized by the earthquake.

SOS Children’s Villages emergency teams have established three Child Friendly Spaces: two in Bhaktapur and one in Karve. In the coming weeks SOS Children’s Villages will be setting-up more Child Friendly Spaces. (SOS)",,http://www.sos-childrensvillages.org/,https://www.facebook.com/soschildrensvillages,https://twitter.com/SOS_Advocates,http://www.sos-childrensvillages.org/donate,"http://www.sos-childrensvillages.org/news/nepal-earthquake-international-aid-crucial, http://www.sos-usa.org/emergency-response/a-safe-space-for-kids-in-nepal"
Spanish Agency for International Cooperation and Development,,AECID,NGO - International,Spain,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Sphere India,,IAG,NGO - International,India,Search & Rescue,,,,,"Total 07 NDRF teams (Lalitpur-2 teams, Baktapur-3 teams, Valley Division- 2teams) equipped with latest disaster management gadgets; medical component and also having dog squad trained in Urban Search and Rescue Operation are proposed for deployment in Nepal to assist in response & relief work.",,http://sphereindia.org.in/,https://www.facebook.com/sphereindiapage,https://twitter.com/Sphere_India,NA,
Splash,,,NGO - International,USA,WASH,,,,,"We are focused on the following two areas of relief services: 1) Utilizing the filtration systems we have installed at schools throughout Kathmandu to provide clean water to the surrounding communities, and 2) Helping Kathmandu schools rebuild their water, sanitation and hygiene infrastructure so that kids can go back to school as soon as possible.",,http://splash.org/,https://www.facebook.com/splashglobal,https://twitter.com/splash_org,https://splash.org/sumac/sumac_start_new_session.php?package=donation2,
Stromme Foundation,,,NGO - International,?,Early Recovery,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
Sunrise Children's Association Inc,,SCAI,NGO - International,Australia,Shelter & NFI,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
Swiss Agency for Development and Cooperation,,SDC,NGO - International,Switzerland,Logistics,Assessments,,,,"-The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.
-Previous commitments by Swiss Agency for Development and cooperation: 
In Nepal, Switzerland is working to improve the living conditions and food security of the population, in particular by providing support for the sustainable management of natural resources such as land, water and forests.",,https://www.eda.admin.ch/eda/en/home/aktuell/dossiers/erdbeben-in-nepal.html,,,,
Swiss Federal Department of Foreign Affairs,,SFDFA,Government,Switzerland,Assessments,Shelter & NFI,Logistics,,,"""Switzerland is making every effort to help the victims of the earthquake in Nepal on 25 April 2015. Swiss Humanitarian Aid sent a rapid response team to Nepal the day after the disaster struck. On 28 April 2015 it also sent ateam comprised of eight medical specialists and two logisticsspecialists. The FDFA is providing people travelling in Nepal or planning to do so with information on the situation. The Swiss embassyin Kathmandu is in close contact with the local authorities and is stilltrying to obtain information about Swiss nationals in the region. The Crisis Management Centre (KMZ) in Bern is coordinating all operations relating to Swiss nationals in Nepal. Nepal has been a priority country for the Swiss Agency for Development and Cooperation for several decades""
source: https://www.eda.admin.ch/eda/en/home/aktuell/dossiers/erdbeben-in-nepal.html      ",,,,,,
Swiss Humanitarian Aid Unit,,,NGO - International,Switzerland,Protection,Health,,,,"On the evening of 28 April 2015, a 10-strong medical team will fly to Nepal as part of the “Mother and Child” unit to provide medical support in the disaster area for women in childbirth and to perform surgery on children there. The deployment of the team of doctors by the Swiss Humanitarian Aid Unit is the first response measure to be taken following an initial assessment of the situation by the rapid response team sent to the region on 26 April 2015 in the wake of the devastating earthquake in the Himalayas.

The “Mother and Child” unit is a rapid response medical team deployed by the Swiss Humanitarian Aid Unit. On Tuesday evening, eight medical personnel and two logistics experts will depart from Belp airport for Nepal. The team will travel on the Federal Council’s official jet in cooperation with the Swiss Air Force operated by the Federal Department of Defence, Civil Protection and Sport (DDPS).

The “Mother and Child” rapid response team was set up based on experience acquired following the earthquake in Haiti. Medical personnel can be sent to reinforce existing health teams only a few days after a disaster hits. Central to their work are surgical operations on children and childbirth support. The team will take with it the medical equipment needed for its work. The flight on 28 April 2015 will carry 562 kg of equipment. Together with personal equipment, the plane will thus have a total cargo of 1 tonne.

The Swiss Humanitarian Aid Unit decided to deploy this 10-strong team following an evaluation by the advance detachment sent on Sunday, 26 April. The six-member group of experts assessed the situation and the requirements in the disaster area upon their arrival in the Nepalese capital, took charge of coordination with the authorities and the local partners on the ground, supplied first aid and supported the Swiss embassy and the cooperation office of the Swiss Agency for Development and Cooperation in Kathmandu. The plan is for this team to be joined by eight specialists from the Swiss Disaster Relief Unit. A larger consignment of aid is scheduled to be delivered on Thursday, 30 April 2015.",,,,,,
Teach for Nepal,,,NGO - Local,Nepal,Education,,,,,"4/29 + 5/1 Teach For Nepal Fellows are moving towards Talamarang, Sindhupalchowk  with relief materials. dropped about 2,000 KG grains including rice and chiura as well as noodles packet off supplies at Shikharpa, Lele-7, Lalitpur. Appear to be doing primarily distribution of supplies provided by other organizations, but also collecting funds, supplies, and volunteers",,http://www.teachfornepal.org/,https://www.facebook.com/TeachForNepal,https://twitter.com/Teach4Nepal,http://t.co/n3KIlfmk1D,"https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
www.teachfornepal.org
https://www.facebook.com/TeachForNepal/posts/1132513706764637
https://www.facebook.com/TeachForNepal/posts/1131415906874417"
Team Rubicon USA,,,NGO - International,USA,Assessments,Health,,,,"Apr 30 - conducting  impact assessments and medical operations. Our medical and damage assessment teams will push out to the remote villages of Kalinchowk and Dhumthang while additional volunteers prepare to deploy.

Apr 26 - 14 member advance team (primarily medical) deploying to determine needs and further engagement. ","14 people, including medical, comms, and logistics. ",http://www.teamrubiconusa.org,https://www.facebook.com/teamrubicon,https://twitter.com/TeamRubicon,http://www.teamrubiconusa.org/donate/,"http://www.teamrubiconusa.org/field-ops/operation-tenzing/ http://us1.campaign-archive2.com/?u=35d83ace49fd3b83e06fddf82&id=04cbbe5582&e=e198bde16c
http://www.teamrubiconusa.org/the-volunteers-you-wont-hear-about/"
Team&Team International,,,NGO - International,Korea,WASH,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been confirmed or researched in-depth.",,http://www.teamandteam.org/en,,,,
Tearfund,,,NGO - International,UK,Funding,Nutrition,,,,"-""We’re distributing emergency food, water and shelter to the families who are most vulnerable, and we’ll be there to help them recover and 
rebuild when the time comes. ""
-""Lorries filled with aid at INF’s base in Pokhara have distributed food, such as rice, lentils, noodles, cooking oil and salt, as well as tarpaulins, blankets, soap, matches and candles to 500 families who have lost homes and have been sleeping in the open"". 
-£1.25 million (has been raised) for our #NepalQuake Appeal. Thank you so much""",,http://www.tearfund.org/en/latest/nepal_earthquake/,https://www.facebook.com/tearfund,https://twitter.com/tearfund,https://www.tearfund.org/give/nepal_earthquake/,"http://www.tearfund.org/en/about_you/pray/prayer_news/going_where_the_need_is_greatest_in_nepal/
http://www.tearfund.org/en/latest/2015/05/delivering_hope_in_the_shattered_hills_of_nepal/
https://twitter.com/Tearfund/status/595982861355778048 (not a soruce, but an affirmation)"
