organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_contact_person,project_contact_position,project_contact_email,project_contact_phone_number,project_website,date_provided,date_updated,status,donors
Lutheran World Relief,LWR-NP-14-12610,15-0387,foodsecurity_site,Improving Resilience through Livelihood Improvement in Nawalparasi of Nepal,"The goal of the project is to enhance farmer’s resilience in agriculture by adopting diversified farming so that they can protect their agricultural assets in the faces of changing climate and environmental degradation. A total of 790 farming households of flood vulnerable areas will be the direct project beneficiaries and 3950 will be the indirect beneficiaries. The lack of improved husbandry practices, lack of adoption of appropriate crop varieties, poor quality of products, low production, poor capital base of farmers for cultivation, lack of Integrated Plant Nutrient Management (IPNM) and Integrated Pest Management (IPM) technology, high cost of production, lack of post-harvest management and storage facilities, lack of marketing facility and other recommended package of practices are major production constraints of farmers.","- Training events of training on climate smart agriculture and climate change vulnerability involving 160 persons.
- Sessions of training on water efficient technology and promotion of river bank farming involving 250 persons
- Provision of selected crops, vegetables and fruit species to 21 farmers groups suitable for crop diversification
- Training on profitable agriculture farming to 200 farmers (improved vegetables, banana, lentil and groundnut production)
- Training on post‐harvest technology to 140 farmers
- Support to install 46 irrigation facilities (water saving technology)","Nawalparasi district is one of the disaster affected areas of Nepal having encountered with repeated water induced hazards which include river
cutting of the cultivable land and flash floods from top stream to the down streams of watersheds and then the plain areas. Weak geographical
formation of Siwalik hill, shifting cultivation in south facing of Mahabharat range and network of rivers and streams flowing down through Terai
belt of Chitwan and Nawalparsai are conducive factors in causing disasters in these vulnerable areas. This has resulted in losses of cultivable
land increasing annually along the Narayani River.",2014-11-01,2016-09-30,"","Agriculture,Environment","",141110,"",Multi-dimensional Agriculture for Development (MADE),"",790,Farmers (men and women),Nepal>West,Cafer Orman,Program Associate,corman@lwr.org,"",http://programs.lwr.org/,2015-04-14,2015-09-29,active,Private donations
Lutheran World Relief,LWR-NP-14-12611,14-0380,foodsecurity_site,"Livelihood Recovery and Disaster Risk Reduction Project in Bardiya District, Nepal","The flood flash in Bardiya district resulted in more than 10,000 displaced farmers in 21 VDCs and 2 Municipalities. The Backward Society Education (BASE) is proposing a livelihood recovery and disaster risk reduction project for 1,000 families in Baniyabhar VDC. The project will enhance knowledge, capacity and skill of the communities on disaster preparedness and diversified sources of income through agricultural production. The project will reach 1,000 farmers who were affected by the flood, ex-bonded laborers, displaced farmers and farmers who live near the river bank.
Another goal of the program is to strengthen the resilience of flood affected people. More specifically, the program will deliver a recovery package to 1000 families which will provide diversified sources of income to farmers, as well as better prepare communities for future floods/disasters.","- As a means of strengthening their resilience, the project aims to enhance crop diversification among the flood-affected families through the introduction of new crops and vegetables such as pumpkin, bottlegurd, cucumber, maize and paddy. 
- As well as the provision of inputs, farmers will be taught how to prepare land, plant seedlings, apply manure, and use insecticide. Training will also be given in livestock management (goats and pigs). 
- In addition to livelihood diversification, the project will enhance local access to markets by hiring local laborers to repair market-related infrastructure such as roads, culverts and marketing centers.
- Trainings in participatory capacity and vulnerability assessment, and community based disaster risk management. Each of the three VDCs will prepare disaster management plans, and support will be provided to seek the plans’ endorsement by the local level government authorities, called Village Development Committees.","The 2014 monsoon season in Nepal was severe compared to previous years. After an initial normal start to the season with only localized flooding, by the middle of August several districts were hit by massive flooding. This was caused by heavy and continuous rainfall, triggering landslides and damaging infrastructure such as roads, bridges, culverts and local markets.",2014-09-05,2015-10-03,"","Agriculture,Disaster Management,Economic Recovery and Development","",400959,"","DAFUO, BSE",Lutheran World Relief,2000,Farmers and Laborers,Nepal>Mid-Western,Cafer Orman,Program Associate,corman@lwr.org,"",http://programs.lwr.org/,2015-04-14,2015-09-29,active,Bill &amp; Melinda Gates Foundation
Lutheran World Relief,LWR-NP-14-12614,AS-NEP-3-002-14,foodsecurity_site,Promotion of Climate Smart Agriculture and Natural Resource Management,"The project is developed on the basis of the Community Led Climate Change Adaptation Project (CCA Project) implemented by COPPADES in two phases starting 2010. The project aimed at building the local capacity to maintain resilience in the face of threats and uncertainties created by changing climatic patterns.
A great deal of experience was gained through the project that crystallized the need for helping the rural communities toward more climate smart commercialized agricultural practices that can generate more income and employment to the families for improving their lives, in the real sense be a vehicle for improving the livelihood. This becomes particularly necessary as the traditional subsistence farming practices have proved to have very limited capacity for intended growth and to meet the increasing need for income for the rural households in the current context of cash based economy.","- Conduct Climate Smart Agriculture Training
- Conduct Climate Fields Schools
- Conduct training on climate change vulnerability
- Training and support on establishment of seed bank
- Training and support to farmers on seed production of potato, turmeric and ginger
- Training and support on formation and registration of cooperatives
- Training to small holder farmers on business planning and market management
- Provide training on storage, processing, packaging and assembling
- Provide revolving funds for agriculture cooperative
- Provide inputs support to farmers for commercial farming of potato, ginger, tomato, cowpeas and
cardamom","The project is developed on the basis of the Community Led Climate Change Adaptation Project (CCA Project) implemented by COPPADES in two phases starting 2010. The project aimed at building the local capacity to maintain resilience in the face of threats and uncertainties created by changing climatic patterns. A great deal of experience was gained through the project that crystalized the need for helping the rural communities toward more climate smart commercialized agricultural practices that can generate more
income and employment to the families for improving their lives, in the real sense be a vehicle for improving the livelihood.",2014-07-09,2016-09-30,"","Agriculture,Environment","",139789,"",Committee for the Public Awareness and Development Studies (COPPADES),"",1650,Rural Farmers,Nepal>West,Cafer Orman,Program Associate,corman@lwr.org,"",http://programs.lwr.org/,2015-04-14,2015-10-02,active,Private donations
Lutheran World Relief,LWR-NP-14-5011,AS-NEP-3-001-14,foodsecurity_site,Citrus Market Development Project III (CMDP III) in Nawalparasi and Tanahu  District,The project aims to improve the livelihood of poor and marginalized Nepalese farmers groups in Nawalparasi and Tanahu districts by improving their citrus cultivation practices along with better access to mandarin market. This is achieved through the development of community capacity on construction and management of zero energy cold store and institutional development of the communities through formation of cooperative. The project will start from February 2014 and will be of 3 years time period.,"- Training on improved citrus cultivation practices and management
- Irrigation Support
- Establish citrus nursery
- Tools and equipment support
- Integrated pest management training
- Improved sapling distribution
- Training on citrus post harvest management
- Harvesting and packaging tools and equipment support
- Construction of zero-energy cold storage facilities
- Seed money support for infrastructure development for improved access to market
- Training to farmers about market management and value chain analysis
- Establish citrus collection center
- Formation of Citrus Cooperatives
- Gender training (for both male and female)",The project is designed to build on the existing interventions made in Dandajheri and Jaubari VDC of Nawalparasi. The project seeks to improve from the beginning - the cultivation practices of mandarin orange farming and collective market management. Citrus farmers groups and cooperatives will be formed and are considered as sustainable institutional mechanism at community level for collective marketing of citrus. The farmers will transfer their knowledge to other farmers. Innovative farmers will be trained to develop their technical and leadership capacity through different training and interaction programs.,2014-02-01,2017-01-31,"",Agriculture,Gender,179984,"",SAHAMATI,"",1000,Citrus Farmers,Nepal>West,Cafer Orman,Program Associate,corman@lwr.org,4102302837,http://programs.lwr.org/asia,2014-04-24,2015-10-01,active,Private donations
Lutheran World Relief,LWR-NP-15-12690,15-0702,nepal_earthquake,Relief for Earthquake Victims in Lamjung and Gorkha Districts in Nepal,"This emergency program will provide each family with at least two 12x18 foot tarpaulins, and bamboo poles for building the structure. Approximately 75% of the households in the targeted districts have been fully or partially destroyed. These materials will provide the families with urgently needed shelter with the rainy season about to begin. The communities will also be given basic training on protection issues related to living in temporary shelter. Apart from these, the project will administer cash transfer program (cash/voucher) so that families can purchase food supplies for day to day activities.
The program will target seven village development committees (VDCs) in Lamjung District and 4 VDCs of  Gorkha district where current estimates indicate shows  that 3000  houses were destroyed.","This project will provide shelter, diversified sources of income for farmers, and better preparation of these communities for future disasters. This early recovery project is comprised of three components: i) increasing year round food security among the affected households, ii) ensuring safe and habitable homes for affected families and iii) developing community capacity on DRR.","A powerful 7.8 magnitude earthquake struck Nepal at 11:41 a.m. on 25 April, with the epicenter in Lamjung District northwest of Kathmandu. Government reports confirm that 39 out of 75 districts in the country have been affected, primarily in the Western and Central Regions. In both urban and rural areas, many people are currently living in the open until they have access to safe, more permanent shelter. OCHA especially identified rural areas as a concern for shelter needs, as access and quality needs assessments still present a challenge. ",2015-04-30,2017-09-30,"Early Recovery,Shelter and Non-Food Items","Humanitarian aid,Shelter and Housing","",1402647,"","Committee for the Public Awareness and Development Studies (COPPADES), Shree Swanra Integrated Community Development Center (SSICDC)",Lutheran World Relief,4224,Rural disaster-affected populations in need of shelter,Nepal>West,Cafer Orman,Program Associate,corman@lwr.org,"",http://programs.lwr.org/,2015-04-30,2015-10-02,active,"ACT Alliance Secretariat,Bill &amp; Melinda Gates Foundation,Private donations"
Mercy Corps,MC-NP-12-14154,4630.0,"",Managing Risks through Economic Development (M-RED),"Innovative program that integrates proven disaster risk reduction (DRR) and livelihood approaches in Nepal and Timor Leste, and support work in Indonesia to leverage or complement the integrated DRR approach Mercy Corps seeks to implement in Nepal and Timor Leste.  
Topics to integrate:
- Climate change implications and related solutions;
- Embedding accountability to communities into the proposed activities; 
- The role of technology; and
- Capacity building of local partner organizations and communities.","Through the international portion of its Relief, Recovery, and Development Program, the Foundation seeks to support organizations working to achieve the following goals: <br>

? Reduce suffering of people affected by disasters
? Reduce vulnerability of people affected by disasters or those living in disaster-prone areas
? Increase the resilience and security of individuals and communities affected by  natural disasters<br>

The objectives of the international Program are to:
• Support the provision of inputs to meet immediate needs in disasters that receive less attention from the global funding community.
• Maximize effectiveness, speed and coordination of relief activities.
• Address underlying risk factors of vulnerability after meeting immediate disaster relief needs.
• Reduce the risk of disaster impact through preparedness and mitigation activities  in disaster-prone areas.","",2012-12-01,2015-11-30,"",Disaster Management,"Resilience, Climate Change",4793897,"","",Mercy Corps,200000,"","Indonesia,Nepal,Timor-Leste",Jennifer Houston,"",jhouston@macphil.org,952.223.8101,"",2015-07-28,2015-08-03,active,Margaret A. Cargill Foundation
Mercy Corps,MC-NP-12-14173,4630.0,"",Managing Risks through Economic Development (M-RED),"This innovative program aims to utilize existing disaster risk reduction and livelihood approaches to further address climate change implications and related solutions, integrate accountability to communities into the proposed activities, emphasize the role of technology, and build local capacity with partner organizations and communities.","Project Goal: (1) Reduce suffering of people affected by disasters, (2) reduce vulnerability of people affected by disasters or those living in disaster-prone areas, and (3) increase the resilience and security of individuals and communities affected by natural disasters<br>

Activities: (1) Support the provision of inputs to meet immediate needs in disasters that receive less attention from the global funding community, (2) maximize effectiveness, speed and coordination of relief activities, (3) address underlying risk factors of vulnerability after meeting immediate disaster relief needs, and (4) reduce the risk of disaster impact through preparedness and mitigation activities in disaster-prone areas.  ","",2012-12-01,2015-11-30,"",Disaster Management,"Resilience, Climate Change",4793897,"","",Mercy Corps,200000,"","Indonesia,Nepal,Timor-Leste",Jennifer Houston,"",jhouston@macphil.org,952.223.8101,"",2015-07-28,2015-08-03,active,Margaret A. Cargill Foundation
Mercy Corps,MC-NP-12-14180,4630.0,"",Managing Risks through Economic Development (M-RED),"Innovative program that integrates proven disaster risk reduction (DRR) and livelihood approaches in Nepal and Timor Leste, and support work in Indonesia to leverage or complement the integrated DRR approach Mercy Corps seeks to implement in Nepal and Timor Leste.  
Topics to integrate:
- Climate change implications and related solutions;
- Embedding accountability to communities into the proposed activities; 
- The role of technology; and
- Capacity building of local partner organizations and communities.","Through the international portion of its Relief, Recovery, and Development Program, the Foundation seeks to support organizations working to achieve the following goals: <br>

? Reduce suffering of people affected by disasters
? Reduce vulnerability of people affected by disasters or those living in disaster-prone areas
? Increase the resilience and security of individuals and communities affected by  natural disasters<br>

The objectives of the international Program are to:
• Support the provision of inputs to meet immediate needs in disasters that receive less attention from the global funding community.
• Maximize effectiveness, speed and coordination of relief activities.
• Address underlying risk factors of vulnerability after meeting immediate disaster relief needs.
• Reduce the risk of disaster impact through preparedness and mitigation activities  in disaster-prone areas.","",2012-12-01,2015-11-30,"",Disaster Management,"Resilience, Climate Change",4793897,"","",Mercy Corps,200000,"","Indonesia,Nepal,Timor-Leste",Jennifer Houston,"",jhouston@macphil.org,952.223.8101,"",2015-07-28,2015-08-03,active,Margaret A. Cargill Foundation
Mercy Corps,MC-NP-13-14174,4700.0,"",Supporting the Education of Marginalised Girls in Kailali (STEM),"STEM is innovative in its design to facilitate the mobilisation of existing and new Public Private Partnerships (PPP) that engage with and support existing, and where necessary create new, sustainable community structures that will make the education of marginalised in-school and out-of-school (OOS) Dalit and Janajati girls more efficient, equitable and effective.","Project Goal: STEM will begin to erode  cultural and financial barriers to education and work for marginalised girls face by supporting them to enroll in school, learn and pass exams, and begin to earn their way from school to work. 
Activities: (1) Attract private investment, (2) incentivise communities and families to retain marginalised girls in school and promote improved learning outcomes, (3) create girl clubs to focus learning on completing a cycle of education, (4) support local entrepreneurs to provide a low-cost mechanism for marginalised girls and their families to bring renewable light into their homes to increase studying and improve learning, and (5) enhance access to and affordability of vocational training, apprenticeships and small business start-up opportunities.",75% of people reached will be girls.,2013-08-01,2016-04-30,"",Education,"Gender & Women, Youth",2138419,"","",Mercy Corps,10000,"",Nepal>Far-Western,"","","","","",2015-07-28,2015-07-28,active,UK Department for International Development (DFID)
Doctors of the World-USA,MdM-NP-15-13853,"",nepal_earthquake,Nepal: Rapid Disaster Response,"In late spring 2015, Nepal was hit by two devastating earthquakes: a 7.8 magnitude quake on April 25, and the subsequent 7.3 quake on May 12. While Nepal continues to assess the damage, it is clear that more than 8,600 people have died, over 17,000 have been injured, and at least 500,000 have lost their homes. An estimated 60% of the country’s infrastructure (including roads, water supplies, and health centers, among other services) has been damaged, meaning that some 8 million people have been impacted by the earthquakes and ongoing aftershocks.<br>

Médecin du Monde (MdM) teams have set up clinics near the village of Golche in the Sindhupalchok district – a remote region that was one of the hardest hit in the quakes; and in the village of Sunkhani, where the health center was completely destroyed. MdM medical teams have evaluated 2,000 people and are providing basic healthcare to thousands in the area.<br>

In addition, our assessment teams are working with 6 remote villages in Sindhupalchok (Tangpatango, Bolde, Gumbatang, Lidi, Sunchagan, and Pongapur) to determine the communities’ needs. People living in these villages have been cut off from most aid and emergency response efforts as a result of impassable roads, landslides and collapsed bridges.<br>

The approaching monsoon season, set to begin in June and last throughout the summer months, is also a cause for concern. In Sindhupalchok, landslides are common during monsoon season, and this year the likelihood is even greater given the recent damage from the earthquakes.<br>

The monsoon season brings with it an increased risk of infection and contagious disease due to compromised sanitary conditions and lack of clean water supplies. To help reduce this risk, MdM is working in partnership with aid organization Solidarités International to equip families with in-home chlorination kits, hygiene kits, and latrine kits, and to provide training on the proper assembly and use of the kits.<br>

MdM has deployed in areas where the needs are greatest, and where we have long-standing relationships with the communities affected by the earthquakes, such as Sindhupalchok. We are committed to assisting in rebuilding Nepal’s fractured health system, and to re-establishing Nepalis access to clean water and sanitation. We will continue to provide medical personnel, supplies and equipment to deliver ongoing emergency and long-term healthcare to Nepalis in need.","","Long-Term Activities in Nepal: Improving Access to Sexual and Reproductive Health Services<br>

MdM has been working in the remote Sindhupalchok region – one of the hardest hit by the earthquakes – since 2007. Our objective is to increase access to sexual and reproductive health public services and to reduce factors contributing to maternal and neonatal mortality. Doctors of the World’s project intends both to ensure that quality health services are available at the community level (renovation and equipping of health facilities, training of health personnel, referrals) and to support women by improving their ability to access healthcare. The originality and sustainability of the project lies with the involvement of women in microfinance activities, and in education sessions on prevention and management of pregnancy, childbirth and post-natal care.<br>

MdM has partnered with two national organizations on the microfinance component: CEDCF looks after operations in the Sindhupalchok district and CMF provides technical support. MdM has also forged close links with Planet Finance, which shares its expertise in microfinance through training, evaluation and advice.",2015-04-25,2020-01-01,"Health,Shelter and Non-Food Items,Water Sanitation and Hygiene","Disaster Management,Health,Humanitarian aid,Non-food relief items (NFIs),Water Sanitation and Hygiene","","","","","","","",Nepal>Central,Tamera Gugelmeyer,Communications Director,tamera@doctorsoftheworld.org,646-307-7584,http://doctorsoftheworld.org/where-we-work/asia/nepal/,2015-06-18,2015-07-06,active,""
Management Sciences for Health (MSH),MSH-US-12-13689,WW-275,"",Health Communication Capacity Collaborative (HC3),"The Health Communication Capacity Collaborative (HC3) is a five-year, global project funded by USAID. It is designed to strengthen developing country capacity to implement state-of-the-art social and behavior change communication (SBCC) programs. 
<br>
Important health areas addressed by HC3 are: family planning and reproductive health, child survival, maternal and child health, HIV and AIDS, malaria, TB and other infectious and non-communicable diseases.
<br>
HC3 also works to:

1. Strengthen developing country capacity to implement state-of-the-art social and behavior change communication (SBC) programs; and
2. Foster vibrant communities of practice at the national, regional and global level that support improved evidence-based programming and continued innovation","","",2012-09-26,2017-07-31,"",Health,"","","Internews, NetHope, Ogilvy PR, Population Services International (PSI), Management Sciences for Health (MSH)","",Johns Hopkins University Center for Communication Programs,"","","Angola,Bangladesh,Cote d'Ivoire,Egypt,Guatemala,Liberia,Madagascar,Nepal,Nigeria,Swaziland,United Republic of Tanzania,United States","","","","","",2015-06-15,2015-07-06,active,U.S. Agency for International Development (USAID)
Management Sciences for Health (MSH),MSH-US-12-5706,WW-245,"",Grant Management Solutions (GMS),"The Grant Management Solutions 2 (GMS) project was established by the US Government to provide urgent, short-term technical support to countries receiving grants from the Global Fund to Fight AIDS, Tuberculosis and Malaria. GMS is a USAID-funded project managed by the Office of the Global AIDS Coordinator (OGAC). It is led by MSH with four partners. GMS assists in governance and leadership challenges; financial and grants management; procurement and supply management; monitoring, evaluation, and reporting; and improving the skills and participation of civil society organizations and local consultants. Through a small core staff that draws upon a large, evolving network of local, regional, and international consultants, GMS primarily works with Country Coordinating Mechanisms and Principal Recipients at the country level. GMS is located within the Center for Leadership and Management.","","",2012-10-01,2017-09-30,"",Health,"","","","",Management Sciences for Health (MSH),"","","Afghanistan,Albania,Angola,Armenia,Bangladesh,Benin,Bhutan,Bosnia and Herzegovina,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Colombia,Comoros,Congo,Cote d'Ivoire,Democratic Republic of the Congo,Djibouti,Dominican Republic,Ecuador,El Salvador,Fiji,Gabon,Georgia,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Jordan,Kazakhstan,Kyrgyzstan,Lao People's Democratic Republic,Lesotho,Liberia,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Nepal,Nicaragua,Niger,Nigeria,Pakistan,Papua New Guinea,Peru,Philippines,Republic of Moldova,Rwanda,Sao Tome and Principe,Senegal,Serbia,Sierra Leone,Solomon Islands,South Africa,South Sudan,Sri Lanka,Swaziland,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tunisia,Turkmenistan,Uganda,Ukraine,United Republic of Tanzania,United States,Uruguay,Uzbekistan,Zambia,Zimbabwe","","","","","",2014-05-29,2015-06-15,active,U.S. Agency for International Development (USAID)
Pact,PACT-NP-12-11262,P4045,"",Sajhedari: Partnership for Local Development,"Community participation and development; co-operatives; grassroots organisations; development of other participatory planning and decision making procedures and institutions (see code 15220 for civilian peace-building, conflict prevention and resolution).","","",2012-12-01,2017-11-30,"",Human Rights Democracy and Governance,"",9533166.73,"","","","","",Nepal,Kipp Efinger/Josie McCabe,"",iati@pactworld.org,"","",2015-02-10,2015-02-10,active,U.S. Agency for International Development (USAID)
Plan International USA,PLAN-NP-14-12562,NPL0302,"",Pregnant Women's Groups: An integrated approach to reduce maternal and neonatal deaths in Nepal,"The overall goal of the project is to decrease maternal, perinatal and neonatal (newborn) mortality in Nepal. The objective of the project is to improve access to and utilization of community-based maternal and child health services by disadvantaged pregnant women through Pregnant Women’s Groups. The project will form 3,300 PWGs, reaching 394,080 direct beneficiaries (mothers and newborns) and 732,600 indirect beneficiaries.","",IATI id: US-IRS-13-5661832-AID-OAA-F-14-00025,2014-09-01,2017-08-01,"",Health,"",1500000,"","",Plan International USA,394080,"",Nepal,"","",IATIUSOffice@planusa.org,202-617-2300,"",2015-04-07,2015-04-07,active,U.S. Agency for International Development (USAID)
Relief International,RI-AF-14-7569,"","",One Health Program in Asia,"The project’s objectives is to effectively contribute to the reduction of zoonoses and alleviate their impact on fragile population by promoting awareness, behavior change, and coordination between individuals and local and national authorities. Specifically, RI is working to create awareness and behavior change. Also, RI is developing prevention and response capacity of communities, government departments and academia. Lastly, RI is integrating zoonoses surveillance within existing government regulations. ","","",2014-01-01,2016-12-31,"","Health,Other","Livelihoods, Enterprise",2795924,"","","","","","Afghanistan,Bangladesh,Nepal",Pascal Arthaud,"Regional Director, Asia",pascal.arthaud@ri.org,(202) 639-8660,"",2014-07-08,2015-02-06,active,European Commission (EC)
ReSurge International,RSI-NP-86-4046,"","","Surgical Outreach Program, Visiting Educator Program, Volunteer Team Trips Program and Medical Scholars Program - Nepal","Nepal is home to ReSurge International’s first and largest year-round Surgical Outreach Program that provides free year-round surgical care to children and adults with disabling burns, clefts and other conditions. Dr. Shankar Rai, ReSurge’s surgical outreach director, has a team of local medical professionals who provide medical services to the poor. Due to the overwhelming need for surgery in the country, ReSurge’s Volunteer Team Trip Program sends a volunteer surgical team to provide additional surgeries when needed.  Support is also provided for speech therapy and orthodontic care for cleft patients, and physical therapy for burn patients.  In addition to providing direct service and training, ReSurge also supports the advanced clinical training of several local doctors in Nepal.","","",1986-01-03,2018-01-03,Health,Health,"","","","","","","",Nepal>Central,"","","","","",2013-04-23,"",active,"Corporation(s),Foundation(s),Private donations"
Solar Cookers International,SOLAR-NP-13-4611,FoST,foodsecurity_site,Foundation for Sustainable Technologies,"In 2013, FoST began a partnership with Solar Cookers International, which provides funds for training in solar cooking, improved cookstoves, briquette-making, and retained-heat cooking technologies to people with little access to biomass fuel.","FOST projects, in the rural communities of Nepal, focus on empowering women on:
-How to cook food, pasteurize water, and dry food in the sun.
-How to use solar energy to save time and costly fuel.
-How to do retained-heat cooking.
-How to reduce household air pollution.
-How to manage wastes and convert them into fuel briquettes.
-How to empower women community in rural areas through sustainable technologies.","",2013-08-01,2015-12-31,"Food Security and Agriculture,Health,Shelter and Non-Food Items","Environment,Health","",10000,"","",Foundation For Sustainable Technologies Organization,81,"women, children, ",Nepal>Central,Julie Greene,Executive Director,julie@solarcookers.org,+1-916-455-4499,http://solarcookers.org/what/projects/,2013-10-11,2015-08-03,active,Private donations
Solidarity Center,SOLID-IN-11-13982,"","Bangladesh,domestic workers,human rights,India,labor,Nepal,South Asia,Sri Lanka,unions,worker rights",South Asia Subregional: Promoting Domestic Worker Rights,"The Solidarity Center builds the capacity of trade unions in South Asia to organize and advocate for the rights of marginalized and vulnerable workers, and domestic workers in particular. The project trains trade unions and their members on how to utilize existing labor laws to create tangible improvements for workers—for example higher wages, more reasonable working hours and safer working conditions—as well as how to collaborate more effectively with other civil society organizations.","The Solidarity Center organizes local and regional workshops to train domestic workers and union activists to build union capacity, increase membership, strengthen women’s leadership and advocate for the legal protection of domestic worker rights in accordance with international standards. The project also builds regional and global networks to connect South Asian NGOs and trade unions with UN committees that advocate for the rights of migrant workers and domestic workers.","",2011-02-01,2016-01-31,"",Human Rights Democracy and Governance,"","","","International Domestic Workers Federation (IDWF), Nepal Independent Domestic Workers Union (NIDWU), General Federation of Nepalese Trade Unions (GEFONT)","","","","Bangladesh,India,Nepal,Sri Lanka","","","","","",2015-07-14,2015-07-14,active,U.S. Agency for International Development (USAID)
Save the Children,STC-BD-12-8063,84050363,"",Saving Newborn Lives Phase 3,"Save the Children’s Saving Newborn Lives (SNL) program, supported by the Bill & Melinda Gates Foundation, is a globally-recognized leader in newborn health and a respected voice in countries. Since 2000, SNL has worked to reach the world’s most vulnerable newborns and help them survive their first month of life. SNL is currently focused on scaling up life-saving interventions for mothers and newborns in seven countries: Ethiopia, Malawi, Nigeria and Uganda in Africa and Bangladesh, Nepal and India in South Asia. By working with governments and partners to put newborn health on global and national agendas, the SNL program serves as a catalyst for action. To accomplish its goals, the program works to develop, apply, document, and sustain packages of effective evidence-based newborn care services and practices at scale. In addition, the program advocates to increase availability of and access to routine and emergency newborn care services and supplies, to improve the quality of newborn care services, and to increase knowledge about and demand for newborn care. SNL also supports and maintains the Healthy Newborn Network (HNN) at www.healthynewbornnetwork.org. HNN is an online knowledge hub for newborn news, resources, blogs and more!","","",2012-11-12,2017-12-31,"",Health,"",33998287,"","",Save the Children (US),"","","Bangladesh,Ethiopia,India,Malawi,Nepal,Nigeria,Uganda",Emily Rindone,"Associate Director, Financial Ops & Grants Mgmt,", erindone@savechildren.org,202-640-6662,"",2014-09-25,2014-10-13,active,Bill &amp; Melinda Gates Foundation
Save the Children,STC-NP-11-7947,84010469,foodsecurity_site,Suaahara (Good Nutrition),"Suaahara is a five-year, $46 million comprehensive community-focused project dedicated to improving the health and nutritional status of pregnant and lactating women and children under two years of age, thereby directly addressing the vulnerable points of development which result in chronic undernutrition or stunting. The project focuses on improving: nutrition; maternal, newborn, and child health (MNCH) services; reproductive health/family planning services; water, sanitation and hygiene; and home-based gardening in 20 districts. The project works within the government system, primarily through Female Community Health Volunteers (FCHVs) and other community extension workers. FCHVs disseminate health messages, services and commodities at the household level and through mothers’ group discussion forums. For 20 years, the GON, other donors, and USAID have increased the knowledge and skills of this cadre of FCHV’s and their female neighbors through a family health-based curriculum. The volunteers are now building on that knowledge and developing demonstration farms encompassing poultry farming, productive sanitation, integrated pest control and nutritious vegetables. Suaahara integrates health, nutrition, agriculture and food security activities. Complementary nutrition and hygiene education, small-scale backyard farming, and greater access to and understanding of the need for a variety of healthy foods will improve the impact of agriculture production and economic development on nutritional status in the Mid- and Far-West regions.  Project approaches support the Government of Nepal’s Multisectoral Nutrition Plan 2013-17 and the Hygiene and Sanitation Master Plan 2011-2015.","","",2011-08-30,2016-08-29,"","Agriculture,Health","",40500857.39,"Helen Keller International (HKI) Jhpiego Johns Hopkins University Center for Communication Programs (JHU/CCP) Nutrition Promotion and Consultancy Service 
(NPCS)
","Nepali Technical Assistance Group (NTAG). Nepal Water for Health (NEWAH)
",Save the Children (US),"","",Nepal,Ana Caceres-Silva,"Manager, Finance and Programs
International Programs",acaceressilva@savechildren.org,202-640-6711,"",2014-09-24,2014-09-24,active,U.S. Agency for International Development (USAID)
World Concern,WC-NP-15-12679,3810,nepal_earthquake,Nepal Earthquake Relief,"Due to the April 25, 2015 earthquake which shook Nepal and the subsequent aftershocks, World Concern is responding to the need for emergency relief by way of food, shelter and water to its many disaster stricken residents.<br><br>The World Concern Disaster Response efforts have been initiated in our contribution to the international community to provide life-saving assistance to the survivors of the deadly earthquake in the breath-taking nation of Nepal. World Concern continues to partner in these efforts and have expanded its reach in providing relief items, small feeding programs, cleaning public areas and providing psychosocial support where possible.","Needs assessments and immediate and sustainable relief, including earthquake survival kits, non-food items, food and tarps where still needed. Assist in rebuilding homes and structures. Support churches in obtaining and distributing relief materials. Transport of goods and materials.",Budget is for FY16.,2015-04-25,2015-11-30,"Early Recovery,Food Security and Agriculture,Shelter and Non-Food Items,Water Sanitation and Hygiene","Food Aid,Humanitarian aid,Shelter and Housing,Water Sanitation and Hygiene","",140645,"","","",10000,earthquake victims,Nepal>Central,Susan Talbot,International Programs Officer,susant@worldconcern.org,"","",2015-04-28,2015-10-01,active,""
