"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Emergency Water Distribution,,,495,People,495,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Emergency Water Distribution,,,70,People,70,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Repair/Rehabilitation of water systems,,,30000,People,30000,
WASH,Nuwakot,524 2 05 28,Gerkhu,524 2 05 28 5 038,Repair/Rehabilitation of water systems,,,,People,0,
WASH,Nuwakot,524 2 05 28,Gerkhu,524 2 05 28 5 038,Repair/Rehabilitation of water systems,,,,People,8963,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Hygiene Promotion Activity,,,,People,0,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Construction of Emergency Latrine (communal/shared),,,,People,0,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Repair/Rehabilitation of water systems,,,,People,3700,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Hygiene Promotion Activity,,,,People,4235,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Support for new/rehabilitated household latrines,,,,People,4235,
WASH,Nuwakot,524 2 05 28,Ghyangphedi,524 2 05 28 5 030,Repair/Rehabilitation of water systems,,,4235,People,4235,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Assessment,,,,People,,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,"Provision of ""Hygiene kit"" Items",kit," 2,200 ",,People,11000,
WASH,Nuwakot,524 2 05 28,Gerkhu,524 2 05 28 5 038,Assessment,,,,People,,
WASH,Nuwakot,524 2 05 28,Gerkhu,524 2 05 28 5 038,"Provision of ""Hygiene kit"" Items",kit,1800,,People,9000,
WASH,Nuwakot,524 2 05 28,Barsunchet,524 2 05 28 5 050,Assessment,kit, 133 ,,People,,
WASH,Nuwakot,524 2 05 28,Barsunchet,524 2 05 28 5 050,"Provision of ""Hygiene kit"" Items",kit, 133 ,665,People,665,
WASH,Nuwakot,524 2 05 28,Barsunchet,524 2 05 28 5 050,"Provision of ""Hygiene kit"" Items",kit, 133 ,665,People,665,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,"Provision of ""Hygiene kit"" Items","Waterguard/Piyush 1, Soap-1, Brush-5, Tooth paste-1 medium size, Towel-1 (Small), Nail cutter-1, Sanitary pad (Menstruation Hygiene)-1 pack, Anti mosquito agent (Odomos)-1 pack, Comb-1", 100 ,500,People,500,
WASH,Nuwakot,524 2 05 28,Gaunkharka,524 2 05 28 5 023,"Provision of ""Hygiene kit"" Items","Waterguard/Piyush 1, Soap-1, Brush-5, Tooth paste-1 medium size, Towel-1 (Small), Nail cutter-1, Sanitary pad (Menstruation Hygiene)-1 pack, Anti mosquito agent (Odomos)-1 pack, Comb-1", 100 ,500,People,500,
WASH,Nuwakot,524 2 05 28,Samari,524 2 05 28 5 055,"Provision of ""Hygiene kit"" Items","Waterguard/Piyush 1, Soap-1, Brush-5, Tooth paste-1 medium size, Towel-1 (Small), Nail cutter-1, Sanitary pad (Menstruation Hygiene)-1 pack, Anti mosquito agent (Odomos)-1 pack, Comb-1", 150 ,750,People,750,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"Provision of ""Hygiene kit"" Items","Waterguard/Piyush 1, Soap-1, Brush-5, Tooth paste-1 medium size, Towel-1 (Small), Nail cutter-1, Sanitary pad (Menstruation Hygiene)-1 pack, Anti mosquito agent (Odomos)-1 pack, Comb-1", 45 ,225,People,225,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Hygiene Promotion Activity,volunteers,,3000,People,3000,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Hygiene Promotion Activity,location,5,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,"Provision of ""Hygiene kit"" Items",kit,250,1250,People,1250,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",location, 1 ,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",location, 5 ,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Construction of Emergency Latrine (communal/shared),number, 3 ,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Support for new/rehabilitated household latrines,toilets, 3 ,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Repair/Rehabilitation of water systems,location, 5 ,,People,,
WASH,Nuwakot,524 2 05 28,Chaturale,524 2 05 28 5 010,Water Treatment Product distribution (1 month supply @ least 3L/person/day),number,200,1000,People,1000,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Hygiene Promotion Activity,volunteers, 12 ,3000,People,3000,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Hygiene Promotion Activity,location, 10 ,,People,1000,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,"Provision of ""Hygiene kit"" Items",kit, 250 ,,People,1250,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",location, 1 ,,People,,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",location, 5 ,,People,,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Construction of Emergency Latrine (communal/shared),toilets, 3 ,,People,,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Support for new/rehabilitated household latrines,toilets, 3 ,,People,,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Repair/Rehabilitation of water systems,number, 5 ,,People,,
WASH,Nuwakot,524 2 05 28,Thanapati,524 2 05 28 5 007,Water Treatment Product distribution (1 month supply @ least 3L/person/day),number, 100 ,1000,People,1000,
WASH,Nuwakot,524 2 05 28,,,Emergency Water Distribution,," 2,422 ",,People,,
WASH,Nuwakot,524 2 05 28,Sikre,524 2 05 28 5 019,"Provision of ""Hygiene kit"" Items",Hygiene kit, 92 ,644,People,644,
WASH,Nuwakot,524 2 05 28,Sikre,524 2 05 28 5 019,Water Kit (container + purification)  ,Rainfresh Unit, 10 ,70,People,70,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages, 900 ,,People,4500,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages, 900 ,,People,4500,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages, 900 ,,People,4500,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Bidur N.P.,524 2 05 28 3 001,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"Provision of ""Hygiene kit"" Items",Packages," 1,000 ",5000,People,5000,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"Provision of ""Hygiene kit"" Items",Packages," 1,000 ",5000,People,5000,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Hygiene Promotion Activity,Packages,1000,,People,4500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"Provision of ""Hygiene kit"" Items",Packages,1000,5000,People,5000,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Jerry can / bucket Distribution,Jerrycan & bucket dist., 650 ,,People,3250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Hygiene Promotion Activity,Packages,1000,,People,4500,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"Provision of ""Hygiene kit"" Items",Packages, 650 ,,People,5000,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Repair/Rehabilitation of water systems,provision of pipe/fittings ,5 system,,People,1125,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Jerry can / bucket Distribution,Jerrycan & bucket dist., 650 ,,People,3250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"Provision of ""Hygiene kit"" Items",Packages, 650 ,,People,5000,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Jerry can / bucket Distribution,Jerrycan & bucket dist., 650 ,,People,3250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Construction of Emergency Latrine (communal/shared),,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"Provision of ""Hygiene kit"" Items",Packages, 650 ,,People,5000,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages,900,,People,4500,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages,900,,People,4500,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages,900,,People,4500,
WASH,Nuwakot,524 2 05 28,Bhadratar,524 2 05 28 5 027,"Provision of ""Hygiene kit"" Items",Packages, 900 ,,People,4500,
WASH,Nuwakot,524 2 05 28,Bidur Municipality,,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Bidur Municipality,,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Bidur Municipality,,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 systems ,,People,11770,
WASH,Nuwakot,524 2 05 28,Bidur Municipality,,Repair/Rehabilitation of water systems,provision of pipe/fittings , 2 ,,People,11700,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",Packages," 1,500 ",,People,7500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Repair/Rehabilitation of water systems,provision of pipe/fittings , 5 system ,,People,1125,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Support for new/rehabilitated household latrines,provision of materials, 150 ,,People,2250,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"Provision of ""Hygiene kit"" Items",Packages," 1,000 ",5000,People,5000,
WASH,Nuwakot,524 2 05 28,Ganeshthan,524 2 05 28 5 037,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Repair/Rehabilitation of water systems,provision of pipe/fittings ,5 system,,People,1125,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Water Treatment Product distribution (1 month supply @ least 3L/person/day),Jerrycan & bucket dist.,650,,People,3250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Support for new/rehabilitated household latrines,provision of materials,150,,People,2250,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,Hygiene Promotion Activity,Packages," 1,000 ",,People,4500,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"Provision of ""Hygiene kit"" Items",Packages,650,,People,5000,
WASH,Nuwakot,524 2 05 28,Sunkhani,524 2 05 28 5 006,"WASH in School/TLS (Water, Toilets + Handwashing as needed)",,,,People,,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Assessment,,,,People,,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Soap Distribution ( at least 1 month supply),pcs, 488 ,,People,,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Hygiene Promotion Activity,hh," 1,439 ",,People,,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,7195,People,7195,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Construction of Emergency Latrine (communal/shared),units,21,,People,1,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Repair/Rehabilitation of water systems,,1,100,People,2820,
WASH,Nuwakot,524 2 05 28,Belkot,524 2 05 28 5 008,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,160,,People,1010,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Assessment,,,800,People,1600,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,"Provision of ""Hygiene kit"" Items",pkt,290,,People,,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Hygiene Promotion Activity,hh, 644 ,1250,People,1450,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Soap Distribution ( at least 1 month supply),pcs, 732 ,3220,People,3220,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,695,People,,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Construction of Emergency Latrine (communal/shared),units, 36 ,,People,2,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Repair/Rehabilitation of water systems,2000ltr tank,,,People,1240,
WASH,Nuwakot,524 2 05 28,Budhasing,524 2 05 28 5 044,Water Treatment Product distribution (1 month supply @ least 3L/person/day),, 320 ,,People,490,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Assessment,,,1600,People,3200,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"Provision of ""Hygiene kit"" Items",pkt, 140 ,,People,,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Hygiene Promotion Activity,hh," 1,087 ",700,People,2150,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Soap Distribution ( at least 1 month supply),pcs, 244 ,5435,People,5435,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,,People,,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Construction of Emergency Latrine (communal/shared),units, 20 ,,People,1,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Repair/Rehabilitation of water systems,, 1 ,,People,2160,
WASH,Nuwakot,524 2 05 28,Charghare,524 2 05 28 5 045,Water Treatment Product distribution (1 month supply @ least 3L/person/day),Aquatabs," 1,120 ",,People,700,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Assessment,,,5600,People,6400,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,"Provision of ""Hygiene kit"" Items",pkt, 260 ,,People,,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Hygiene Promotion Activity,hh, 675 ,1300,People,1300,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Soap Distribution ( at least 1 month supply),pcs, 488 ,3375,People,3375,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,451,People,,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Construction of Emergency Latrine (communal/shared),units, 40 ,,People,1,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Repair/Rehabilitation of water systems,,,,People,1280,
WASH,Nuwakot,524 2 05 28,Dangsing,524 2 05 28 5 046,Water Treatment Product distribution (1 month supply @ least 3L/person/day),Aquatabs, 800 ,,People,505,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Assessment,,,4000,People,4800,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,"Provision of ""Hygiene kit"" Items",pkt, 20 ,,People,,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Hygiene Promotion Activity,hh," 1,417 ",7085,People,3075,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Soap Distribution ( at least 1 month supply),pcs, 776 ,7085,People,7085,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,266,People,,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Construction of Emergency Latrine (communal/shared),units, 20 ,,People,2,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Repair/Rehabilitation of water systems,,,,People,2440,
WASH,Nuwakot,524 2 05 28,Duipipal,524 2 05 28 5 002,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,480,,People,1310,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Assessment,,,2400,People,5600,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,"Provision of ""Hygiene kit"" Items",pkt, 385 ,,People,,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Hygiene Promotion Activity,hh, 712 ,3560,People,1925,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Soap Distribution ( at least 1 month supply),pcs, 488 ,3560,People,3560,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,451,People,,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Construction of Emergency Latrine (communal/shared),units, 50 ,,People,1,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Repair/Rehabilitation of water systems,,,,People,1320,
WASH,Nuwakot,524 2 05 28,Gorsyang,524 2 05 28 5 047,Water Treatment Product distribution (1 month supply @ least 3L/person/day),,480,,People,570,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Assessment,,,2400,People,4000,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,"Provision of ""Hygiene kit"" Items",pkt,10,,People,,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Hygiene Promotion Activity,hh," 1,236 ",6180,People,2450,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Soap Distribution ( at least 1 month supply),pcs,244,6180,People,6180,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,,People,,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Construction of Emergency Latrine (communal/shared),units, 23 ,,People,1,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Repair/Rehabilitation of water systems,,,40,People,2360,
WASH,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Water Treatment Product distribution (1 month supply @ least 3L/person/day),, 640 ,,People,915,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Assessment,,,3200,People,6400,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,"Provision of ""Hygiene kit"" Items",pkt, 110 ,,People,,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Hygiene Promotion Activity,hh," 1,244 ",6220,People,2400,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Soap Distribution ( at least 1 month supply),pcs, 732 ,6220,People,6220,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,"WASH in Health Centre (Water, Toilets + Handwashing as needed)",health centre,,225,People,,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Construction of Emergency Latrine (communal/shared),units, 20 ,,People,1,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Repair/Rehabilitation of water systems,,,,People,2380,
WASH,Nuwakot,524 2 05 28,Kakani,524 2 05 28 5 003,Water Treatment Product distribution (1 month supply @ least 3L/person/day),, 160 ,,People,920,
WASH,Nuwakot,524 2 05 28,Ratmate,524 2 05 28 5 020,Assessment,,,775,People,4000,
WASH,Nuwakot,524 2 05 28,Ratmate,524 2 05 28 5 020,"Provision of ""Hygiene kit"" Items",pkt, 5 ,,People,,
WASH,Nuwakot,524 2 05 28,Ratmate,524 2 05 28 5 020,Hygiene Promotion Activity,hh,861,4305,People,25,
